iter	MultiClass
0	2.328127258
1	2.266346389
2	2.209384986
3	2.160377459
4	2.111252062
5	2.071426761
6	2.034259207
7	2.002583399
8	1.967571128
9	1.93631827
10	1.905471636
11	1.874506183
12	1.847788208
13	1.82379977
14	1.798393512
15	1.774292277
16	1.751323232
17	1.728274088
18	1.70768339
19	1.688000403
20	1.671341102
21	1.654936052
22	1.638124329
23	1.621487473
24	1.605130123
25	1.591319677
26	1.576345928
27	1.562208133
28	1.549536055
29	1.539076945
30	1.526722605
31	1.516133216
32	1.505082224
33	1.494200751
34	1.483001037
35	1.471764859
36	1.46208737
37	1.452853896
38	1.44305706
39	1.433869887
40	1.425274967
41	1.417279842
42	1.409644861
43	1.401530661
44	1.393186385
45	1.385210444
46	1.37775978
47	1.369907387
48	1.362458403
49	1.353160879
50	1.346342649
51	1.33857467
52	1.333051897
53	1.324754844
54	1.31875705
55	1.312574391
56	1.305651437
57	1.299708351
58	1.294627732
59	1.287144734
60	1.281996522
61	1.276787448
62	1.270629301
63	1.264381065
64	1.258126268
65	1.252303536
66	1.247507167
67	1.242700091
68	1.236761609
69	1.231746591
70	1.226163986
71	1.22119522
72	1.217057738
73	1.211541987
74	1.208140429
75	1.203862888
76	1.19862791
77	1.194491082
78	1.19106932
79	1.187423829
80	1.183177414
81	1.178947419
82	1.175254943
83	1.17148431
84	1.167809523
85	1.163871127
86	1.159975227
87	1.156169037
88	1.149199749
89	1.145062114
90	1.141202713
91	1.137520272
92	1.134419329
93	1.131735116
94	1.128350715
95	1.125718171
96	1.123063911
97	1.1199444
98	1.115966777
99	1.112501928
100	1.108368436
101	1.104234554
102	1.101271877
103	1.097056694
104	1.094703966
105	1.091041243
106	1.087668772
107	1.084505078
108	1.081746588
109	1.07884032
110	1.076042814
111	1.073095718
112	1.06917789
113	1.066498614
114	1.064391426
115	1.061490994
116	1.057640348
117	1.054990731
118	1.052834333
119	1.049393088
120	1.046030842
121	1.043000783
122	1.039919949
123	1.037873151
124	1.033979828
125	1.030352985
126	1.028440773
127	1.024982603
128	1.021914728
129	1.018211628
130	1.015715193
131	1.013845818
132	1.012004191
133	1.009735033
134	1.006857271
135	1.004388195
136	1.002713246
137	1.000096927
138	0.9979715702
139	0.9947993889
140	0.9925334018
141	0.9895370431
142	0.9869538934
143	0.9834348937
144	0.9809842214
145	0.9783343181
146	0.9757246158
147	0.9738951671
148	0.9713552459
149	0.9687574977
150	0.9668886404
151	0.9648144742
152	0.9623687822
153	0.9604202944
154	0.9585334968
155	0.9553578282
156	0.9533947104
157	0.9512105012
158	0.9493617867
159	0.9472903903
160	0.9446435001
161	0.9423655038
162	0.9401910881
163	0.9381057939
164	0.9367126138
165	0.9353478706
166	0.933724239
167	0.9311656734
168	0.9293262659
169	0.9279433522
170	0.9263947779
171	0.9253483534
172	0.9238210985
173	0.9216652456
174	0.9192290346
175	0.9171669405
176	0.9153269341
177	0.9132562378
178	0.9105118966
179	0.9089245184
180	0.9067456514
181	0.9044295363
182	0.9021220702
183	0.9009956085
184	0.8986148408
185	0.8970822037
186	0.8954258901
187	0.8940704183
188	0.89273188
189	0.8908628654
190	0.889277426
191	0.8872404297
192	0.8845938344
193	0.8830125349
194	0.8808253601
195	0.878238749
196	0.8769422403
197	0.8748724325
198	0.8734216884
199	0.8719021396
200	0.8700586152
201	0.8682584957
202	0.8669621436
203	0.8650900629
204	0.8636005479
205	0.861023079
206	0.8594554572
207	0.8579908368
208	0.855904858
209	0.8548651457
210	0.8531426248
211	0.8509304697
212	0.8495072714
213	0.8472248135
214	0.8456890482
215	0.843929682
216	0.8421286351
217	0.8403591239
218	0.8385663757
219	0.8372583438
220	0.835723896
221	0.8342265765
222	0.832722728
223	0.8316103745
224	0.830090804
225	0.8285104905
226	0.827069818
227	0.8261676271
228	0.8246649658
229	0.8231941732
230	0.8207384329
231	0.8193756714
232	0.8183053988
233	0.8162254809
234	0.8145383621
235	0.8135380111
236	0.8116545289
237	0.8093577037
238	0.8076136073
239	0.8068738872
240	0.8051572238
241	0.803418513
242	0.8016127782
243	0.8002406302
244	0.7982753186
245	0.7973939621
246	0.7953326743
247	0.7937543116
248	0.792515728
249	0.7906515375
