iter	Passed	Remaining
0	31	7959
1	72	9034
2	109	9021
3	146	9000
4	180	8834
5	216	8818
6	256	8913
7	331	10018
8	410	10999
9	464	11156
10	530	11536
11	583	11574
12	632	11539
13	686	11571
14	732	11478
15	772	11291
16	811	11125
17	853	11007
18	893	10862
19	929	10686
20	966	10537
21	1006	10433
22	1045	10315
23	1089	10254
24	1127	10147
25	1164	10035
26	1199	9909
27	1236	9803
28	1271	9688
29	1310	9608
30	1346	9511
31	1384	9430
32	1427	9387
33	1467	9325
34	1504	9239
35	1548	9203
36	1590	9157
37	1640	9152
38	1689	9140
39	1727	9071
40	1774	9043
41	1823	9033
42	1877	9037
43	1928	9027
44	1972	8987
45	2011	8921
46	2053	8870
47	2095	8817
48	2162	8871
49	2204	8816
50	2238	8734
51	2279	8681
52	2318	8616
53	2353	8543
54	2385	8456
55	2416	8371
56	2447	8286
57	2480	8210
58	2510	8126
59	2541	8049
60	2572	7970
61	2604	7898
62	2634	7821
63	2664	7744
64	2694	7669
65	2728	7606
66	2758	7534
67	2789	7464
68	2819	7395
69	2849	7327
70	2879	7258
71	2908	7191
72	2938	7124
73	2968	7059
74	3000	7000
75	3029	6936
76	3059	6873
77	3088	6811
78	3122	6758
79	3151	6697
80	3181	6638
81	3212	6580
82	3241	6523
83	3272	6466
84	3302	6410
85	3332	6354
86	3362	6300
87	3393	6246
88	3424	6194
89	3454	6142
90	3486	6091
91	3517	6041
92	3551	5995
93	3582	5945
94	3612	5894
95	3642	5842
96	3672	5792
97	3702	5743
98	3734	5696
99	3766	5649
100	3796	5601
101	3828	5554
102	3858	5506
103	3890	5461
104	3922	5417
105	3956	5374
106	3991	5333
107	4022	5288
108	4052	5241
109	4084	5197
110	4114	5152
111	4144	5107
112	4174	5061
113	4205	5016
114	4235	4972
115	4266	4928
116	4295	4883
117	4326	4839
118	4356	4795
119	4388	4754
120	4421	4713
121	4451	4670
122	4482	4628
123	4512	4585
124	4546	4546
125	4579	4506
126	4610	4464
127	4640	4423
128	4671	4381
129	4702	4340
130	4732	4299
131	4762	4257
132	4794	4217
133	4826	4178
134	4864	4143
135	4895	4103
136	4926	4063
137	4957	4023
138	4986	3982
139	5016	3941
140	5049	3903
141	5079	3863
142	5111	3824
143	5142	3785
144	5173	3746
145	5206	3708
146	5239	3670
147	5270	3632
148	5304	3595
149	5334	3556
150	5365	3517
151	5398	3480
152	5428	3441
153	5459	3403
154	5490	3365
155	5526	3330
156	5557	3292
157	5588	3253
158	5621	3217
159	5654	3180
160	5685	3142
161	5716	3105
162	5747	3067
163	5779	3030
164	5811	2993
165	5843	2956
166	5874	2919
167	5905	2882
168	5935	2844
169	5967	2808
170	6002	2773
171	6032	2735
172	6062	2698
173	6093	2661
174	6123	2624
175	6154	2587
176	6184	2550
177	6213	2513
178	6244	2476
179	6273	2439
180	6304	2403
181	6335	2366
182	6365	2330
183	6395	2294
184	6424	2257
185	6455	2221
186	6486	2185
187	6517	2149
188	6547	2113
189	6577	2077
190	6608	2041
191	6638	2005
192	6668	1969
193	6698	1933
194	6728	1897
195	6758	1862
196	6788	1826
197	6818	1790
198	6848	1755
199	6879	1719
200	6908	1684
201	6939	1648
202	6968	1613
203	6999	1578
204	7032	1543
205	7062	1508
206	7093	1473
207	7124	1438
208	7154	1403
209	7184	1368
210	7215	1333
211	7246	1298
212	7276	1264
213	7307	1229
214	7339	1194
215	7369	1159
216	7398	1125
217	7427	1090
218	7457	1055
219	7487	1020
220	7517	986
221	7547	951
222	7578	917
223	7608	883
224	7639	848
225	7668	814
226	7699	780
227	7730	745
228	7761	711
229	7794	677
230	7826	643
231	7860	609
232	7893	575
233	7922	541
234	7952	507
235	7982	473
236	8011	439
237	8041	405
238	8071	371
239	8102	337
240	8132	303
241	8162	269
242	8193	236
243	8223	202
244	8254	168
245	8283	134
246	8313	100
247	8344	67
248	8373	33
249	8403	0
